at her beck and called,ready to do something for someone any time you are asked,54
at his beck and called,ready to do something for someone any time you are asked,54
at your beck and called,ready to do something for someone any time you are asked,54
at your beck and calling,ready to do something for someone any time you are asked,54
at her beck and call,ready to do something for someone any time you are asked,54
at her beck and calling,ready to do something for someone any time you are asked,54
at his beck and call,ready to do something for someone any time you are asked,54
at your beck and calls,ready to do something for someone any time you are asked,54
at my wit's end,to be very worried about something and do not know what to do,55
at his wit's end,to be very worried about something and do not know what to do,55
at her wit's end,to be very worried about something and do not know what to do,55
at their wit's end,to be very worried about something and do not know what to do,55
at your wit's end,to be very worried about something and do not know what to do,55
at stake,something in a situation where it might be lost,56
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",57
at the crack of the dawn,"very early in the morning, especially at the time when the sun first appears",58
at the drop of the hat,to do something easily and without any preparation,59
at the eleventh hour,the last moment or almost too late,60
at the heels of,close behind or soon after something,61
away with the fairies,to be in a dreamy state so that you're not totally in touch with reality and give the impression of being slightly mad,62
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,63
back to square one,to start working on a plan from the beginning because your previous attempt failed completely,64
back to the salt mines,"resume work, usually with some reluctance",65
back to the wall,to have very serious problems that limit the ways in which you can act,66
bad blood,feelings of hate between people because of arguments in the past,67
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,68
ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",69
bandit territory,"a geographical area where law enforcement is practically impossible, because people ignore all rule",70
bane of their life,"the source or cause of one's misfortune, unhappiness, frustration, or anxiety",71
bane of his life,"the source or cause of one's misfortune, unhappiness, frustration, or anxiety",71
bane of my life,"the source or cause of one's misfortune, unhappiness, frustration, or anxiety",71
bane of her life,"the source or cause of one's misfortune, unhappiness, frustration, or anxiety",71
bane of your life,"the source or cause of one's misfortune, unhappiness, frustration, or anxiety",71
bare your soul to me,to reveal your innermost thoughts and feelings to someone,72
bare your soul to him,to reveal your innermost thoughts and feelings to someone,72
bare your soul to you,to reveal your innermost thoughts and feelings to someone,72
bare your soul to them,to reveal your innermost thoughts and feelings to someone,72
bare your soul to her,to reveal your innermost thoughts and feelings to someone,72
bare your heart to me,to reveal your innermost thoughts and feelings to someone,73
bare your heart to him,to reveal your innermost thoughts and feelings to someone,73
bare your heart to her,to reveal your innermost thoughts and feelings to someone,73
bare your heart to you,to reveal your innermost thoughts and feelings to someone,73
bare your heart to them,to reveal your innermost thoughts and feelings to someone,73
bark up the wrong tree,to be wrong about the reason for something or the way to achieve something,74
basket case,a person whose agitated mental state leaves them helpless or unable to cope with things,75
bated breath,to be anxious and excited about an imminent event,76
bats in the belfry,to be silly and slightly crazy and behave in a confused way,77
batten down the hatches,"to prepare yourself for danger or a forthcoming difficult period, like a ship preparing for a storm",78
battle lines are drawn,"groups are ready to start fighting or arguing, and that it has become clear what the main points of conflict or disagreement will be",79
battle of wills,a situation that involves people who try to defeat each other by refusing to change their own aims or demands and hoping that their opponents will weaken first,80
am above board,to be honest and legal,81
been above board,to be honest and legal,81
being above board,to be honest and legal,81
be above board,to be honest and legal,81
was above board,to be honest and legal,81
is above board,to be honest and legal,81
was as clear as mud,to be impossible to understand,82
being as clear as mud,to be impossible to understand,82
is as clear as mud,to be impossible to understand,82
am as clear as mud,to be impossible to understand,82
been as clear as mud,to be impossible to understand,82
be as clear as mud,to be impossible to understand,82
am at each other's throat,two persons arguing angrily,83
is at each other's throat,two persons arguing angrily,83
been at each other's throat,two persons arguing angrily,83
be at each other's throat,two persons arguing angrily,83
was at each other's throat,two persons arguing angrily,83
being at each other's throat,two persons arguing angrily,83
being bouncing off the walls,excited and full of nervous energy,84
was bouncing off the walls,excited and full of nervous energy,84
am bouncing off the walls,excited and full of nervous energy,84
be bouncing off the walls,excited and full of nervous energy,84
been bouncing off the walls,excited and full of nervous energy,84
is bouncing off the walls,excited and full of nervous energy,84
is in seventh heaven,to be extremely happy,85
been in seventh heaven,to be extremely happy,85
be in seventh heaven,to be extremely happy,85
was in seventh heaven,to be extremely happy,85
am in seventh heaven,to be extremely happy,85
being in seventh heaven,to be extremely happy,85
be in the doldrums,unsuccessful or showing no activity or development,86
being in the doldrums,unsuccessful or showing no activity or development,86
is in the doldrums,unsuccessful or showing no activity or development,86
am in the doldrums,unsuccessful or showing no activity or development,86
was in the doldrums,unsuccessful or showing no activity or development,86
been in the doldrums,unsuccessful or showing no activity or development,86
was on cloud nine,to be extremely happy and excited,87
being on cloud nine,to be extremely happy and excited,87
been on cloud nine,to be extremely happy and excited,87
is on cloud nine,to be extremely happy and excited,87
be on cloud nine,to be extremely happy and excited,87
am on cloud nine,to be extremely happy and excited,87
was on the edge,to behave in a way that makes it seem as if you are going crazy,88
be on the edge,to behave in a way that makes it seem as if you are going crazy,88
being on the edge,to behave in a way that makes it seem as if you are going crazy,88
is on the edge,to behave in a way that makes it seem as if you are going crazy,88
am on the edge,to behave in a way that makes it seem as if you are going crazy,88
been on the edge,to behave in a way that makes it seem as if you are going crazy,88
been tailor made,specially made for a particular purpose,89
is tailor made,specially made for a particular purpose,89
be tailor made,specially made for a particular purpose,89
being tailor made,specially made for a particular purpose,89
was tailor made,specially made for a particular purpose,89
am tailor made,specially made for a particular purpose,89
mean the world to her,to be extremely important to someone,90
mean the world to them,to be extremely important to someone,90
meant the world to you,to be extremely important to someone,90
means the world to them,to be extremely important to someone,90
meant the world to them,to be extremely important to someone,90
meaning the world to them,to be extremely important to someone,90
mean the world to him,to be extremely important to someone,90
mean the world to me,to be extremely important to someone,90
meant the world to me,to be extremely important to someone,90
means the world to you,to be extremely important to someone,90
means the world to me,to be extremely important to someone,90
meaning the world to her,to be extremely important to someone,90
mean the world to you,to be extremely important to someone,90
means the world to her,to be extremely important to someone,90
meant the world to her,to be extremely important to someone,90
means the world to him,to be extremely important to someone,90
meant the world to him,to be extremely important to someone,90
meaning the world to him,to be extremely important to someone,90
meaning the world to me,to be extremely important to someone,90
meaning the world to you,to be extremely important to someone,90
being the world to them,to be extremely important to someone,91
being the world to her,to be extremely important to someone,91
is the world to them,to be extremely important to someone,91
be the world to him,to be extremely important to someone,91
is the world to me,to be extremely important to someone,91
was the world to her,to be extremely important to someone,91
been the world to you,to be extremely important to someone,91
was the world to me,to be extremely important to someone,91
be the world to them,to be extremely important to someone,91
was the world to him,to be extremely important to someone,91
am the world to me,to be extremely important to someone,91
being the world to you,to be extremely important to someone,91
been the world to her,to be extremely important to someone,91
was the world to you,to be extremely important to someone,91
be the world to me,to be extremely important to someone,91
am the world to her,to be extremely important to someone,91
is the world to you,to be extremely important to someone,91
am the world to them,to be extremely important to someone,91
be the world to her,to be extremely important to someone,91
is the world to her,to be extremely important to someone,91
am the world to him,to be extremely important to someone,91
is the world to him,to be extremely important to someone,91
been the world to them,to be extremely important to someone,91
been the world to him,to be extremely important to someone,91
was the world to them,to be extremely important to someone,91
am the world to you,to be extremely important to someone,91
be the world to you,to be extremely important to someone,91
been the world to me,to be extremely important to someone,91
being the world to him,to be extremely important to someone,91
being the world to me,to be extremely important to someone,91
bear fruit,to produces positive or successful results,92
bear the brunt,to suffer the most when something bad or unpleasant happens,93
bear with sore head,to be in a bad mood that causes you to treat other people badly and complain a lot,94
beat black and blue,hit someone so severely that they are covered in bruises,95
beat your brain out,to put forth one's maximum effort,96
beat my brain out,to put forth one's maximum effort,96
beat her brain out,to put forth one's maximum effort,96
